sample_idx,label,doppler_hz,insider_mode,power_preserving,power_diff_pct
0,0,-252729.88580158728,ground,True,4.913265232860855
1,0,-198284.53726491242,ground,True,0.02898207117323315
2,0,11302.890067958933,ground,True,3.1237635728228756
3,0,-9091.580329808154,ground,True,5.5978466809168586
4,0,-1273.7245293515498,ground,True,0.09816993070518266
5,0,-527425.6458972816,ground,True,3.066419743370016
6,0,183217.13346223906,ground,True,4.385715877288741
7,0,528120.9917028095,ground,True,0.012857376386049895
8,0,556331.5612169015,ground,True,3.2690483285707588
9,0,380582.2573041937,ground,True,5.145563648310555
10,0,-621865.8031261036,ground,True,0.011524474527846957
11,0,526549.1566315397,ground,True,3.2147789897195036
12,0,61892.6804170397,ground,True,5.263771326641398
13,0,630342.727365398,ground,True,0.012542948255396893
14,0,349390.27318064985,ground,True,3.158110620009159
15,0,-66152.33779801591,ground,True,4.318622266275353
16,0,-430589.98940878734,ground,True,0.0841300311321117
17,0,525370.8602877223,ground,True,3.2618434721395766
18,0,199450.0485667103,ground,True,5.081563978575755
19,0,423168.87182457285,ground,True,0.11235337355529086
20,0,279061.1349249426,ground,True,3.354543887859747
21,0,168457.82358157515,ground,True,5.137679706310112
22,0,-636200.1464906661,ground,True,0.10508051418540405
23,0,411681.43405204697,ground,True,3.2608341711308984
24,0,-348253.66578289954,ground,True,4.404184430460636
25,0,12872.836100154356,ground,True,0.11227818421969994
26,0,-302363.64647739107,ground,True,3.095448555078045
27,0,409639.69932533585,ground,True,4.477915114634714
28,0,398031.5675926428,ground,True,0.11072654974886881
29,0,504452.2411057948,ground,True,3.197504414763274
30,0,215567.90858530402,ground,True,4.800742768889705
31,0,35088.203697936384,ground,True,0.12986565335383413
32,0,23367.482011426608,ground,True,3.2190568732255183
33,0,534347.8632779588,ground,True,5.184740287071681
34,0,-159764.2699787207,ground,True,0.029146120632704282
35,0,-99884.08732701452,ground,True,3.2396543776564743
36,0,-346557.8051768585,ground,True,4.464583426913133
37,0,-83582.6695122403,ground,True,0.05690465625404858
38,0,-192894.6107135054,ground,True,3.2419216746971067
39,0,-258439.07284966437,ground,True,4.57243661147762
40,0,144533.04212911119,ground,True,0.010772581171937606
41,0,340972.86603611085,ground,True,3.2474337592772122
42,0,454228.10581340996,ground,True,4.804119345362421
43,0,695014.2129383686,ground,True,0.13282537901845912
44,0,-418061.16482424195,ground,True,3.072584005304519
45,0,636879.2441731468,ground,True,4.842345003809175
46,0,-380474.37401248526,ground,True,0.007744501565866311
47,0,690311.9284675317,ground,True,3.1278315897488014
48,0,-367761.3612707879,ground,True,4.317769456012005
49,0,-616805.045585162,ground,True,0.04238627909085348
50,0,508829.01639769063,ground,True,3.007950155012382
51,0,-104347.3908564242,ground,True,4.164693820204961
52,0,71008.28492022988,ground,True,0.09849802962412493
53,0,-336175.14284582494,ground,True,3.1865651445999816
54,0,531829.8586550447,ground,True,4.831052385380592
55,0,-666024.4846720181,ground,True,0.10978326535690981
56,0,-327911.48971153103,ground,True,3.1181267723576616
57,0,-498470.6402422523,ground,True,4.760422487038411
58,0,199012.27111837812,ground,True,0.12181355905145942
59,0,527958.6502901351,ground,True,3.2666107320569897
60,0,-423087.75901079027,ground,True,5.270917428582137
61,0,543470.7599116998,ground,True,0.07875741133443216
62,0,-660926.1542880059,ground,True,3.208234309953544
63,0,-46105.134983437965,ground,True,3.9907486928772826
64,0,147465.31976963644,ground,True,0.07298150328221943
65,0,258429.127082885,ground,True,3.124571013692507
66,0,351875.10944966425,ground,True,4.119413291725732
67,0,-635285.6527177009,ground,True,0.08046625987058978
68,0,179886.95587971143,ground,True,3.2217121112637344
69,0,623889.7198351116,ground,True,4.285143156510259
70,0,-515962.8850909603,ground,True,0.06209955580396773
71,0,282161.6129522076,ground,True,3.1040198497979
72,0,423229.51766884094,ground,True,3.981778890979394
73,0,494337.0405808781,ground,True,0.10772581171937605
74,0,-641258.6991738591,ground,True,3.173894535014109
75,0,-65137.87859624354,ground,True,4.714297969401309
76,0,42169.06953158876,ground,True,0.011175869426470801
77,0,661028.5900317662,ground,True,3.2502600544469544
78,0,-533897.4805978077,ground,True,4.667809603448374
79,0,246910.02542855023,ground,True,0.03289875201810641
80,0,410914.61863839586,ground,True,3.0531122596909355
81,0,-678274.1632117715,ground,True,4.669493637565747
82,0,-43212.36916941425,ground,True,0.030273960666568307
83,0,622680.3910619703,ground,True,3.1777686981166515
84,0,378492.91224300495,ground,True,4.75715636457172
85,0,277422.99100386474,ground,True,0.008270826915002857
86,0,9689.633591727383,ground,True,3.2211145445950677
87,0,-268906.4897242072,ground,True,4.77247066664888
88,0,156611.3252691372,ground,True,0.0425913409151924
89,0,-342192.9135514762,ground,True,3.1176842326846255
90,0,-487606.9792044568,ground,True,3.5030969011654074
91,0,-250017.9806768925,ground,True,0.14060405755504857
92,0,-77241.20135120624,ground,True,3.1247493397453754
93,0,-448368.96321941895,ground,True,4.715080541894579
94,0,636455.0064463689,ground,True,0.041825776770993785
95,0,163300.18619622555,ground,True,3.1249356722392854
96,0,-18842.948749834934,ground,True,4.996505984236967
97,0,-351591.94236103323,ground,True,0.128942875144309
98,0,228586.36297252623,ground,True,3.1851443593339184
