sample_id,crlb_m,achieved_error_m,GT_x,GT_y,EST_x,EST_y
770,1.4713621033699609,542.6038101409285,33060.93165827151,-34070.114174648246,33371.03134059886,-33624.85348493948
785,1.544867613447823,11741.16093620802,-23119.250007765357,17864.31797272133,-15223.959688623743,26554.4992657903
838,1.5311129656972204,29031.91322366576,-16831.18600015134,129072.9815803121,-39192.145196599886,110557.05629311076
894,1.554512178515065,23820.87613206419,-5649.462619791157,-29823.43208418512,18098.230911381084,-31689.22726283295
986,1.5037991403078776,75520.84749403229,-47559.46324681919,46115.02726415693,27367.04149337471,36658.955477490665
1025,1.4364008864420714,56000.66061784695,6423.31162487495,83532.69451526518,-43904.17667322183,58972.19958458012
1044,1.5679410782045382,2507.0029408660616,-25471.223766659466,-39973.35202034473,-26532.65950700607,-42244.56709484251
1077,1.3889666870863426,66514.3459946963,17536.81629967896,79393.88225789259,63987.65259542867,127001.42399791139
1191,1.6086913345532405,838.4059404022141,140303.33224428786,-45080.41495071509,139562.60344327998,-44687.674114718684
1253,1.4838231876672123,490.8606179481028,4126.150562237039,9365.045310515205,4555.08079319225,9126.37607658443
1294,1.5315100297198374,77477.87521698493,-28046.165449244807,103719.59548357417,47760.061667823524,87712.18849761478
1312,1.4510125315765239,246548.37676679823,146192.18292087215,122915.30635476264,-46501.799522902715,-30886.94075593883
1318,1.4779805286327838,6084.702600722319,-37798.108964666535,46122.579501196975,-41527.230717935076,41314.53866437619
1346,1.4013245670005436,82970.71115557884,106504.67685597367,109754.4235534296,39799.209612845676,159095.2742710497
1419,1.4284695168642532,1085.6226213564812,77030.54105039347,-45458.91795800039,76970.43578903678,-44374.96047103046
1466,1.3768365012425905,61090.159782971845,111281.1578378886,61397.2072030236,55533.43061241893,36413.24171506196
1485,1.4200189049467906,108189.59273388749,87538.05933365054,-24825.997324988446,8846.111656191979,-99072.64941552088
2282,1.5841595440062346,10691.85122067515,-5371.573313029621,-13469.54911207092,-7681.837754522381,-23908.819236721723
2379,1.4661870111655122,14091.4350648942,18127.201599862237,131276.56077405758,31792.195526038002,134716.97981622515
2389,1.5356979282262377,4859.321621193552,12489.935774113437,-45884.02463740016,12503.517238804669,-50743.327278933815
2401,1.3756587085937189,19144.470094360226,20950.970607655006,52058.30064316574,16653.637461565188,70714.22900455722
2525,1.3537814585476333,72530.86017575402,6423.31162487495,83532.69451526518,-26946.532197620312,19134.098248754402
2541,1.662812404252232,23757.38686592834,-18701.8317628582,-35694.42022254718,-1847.6319854666879,-18950.783205424523
2544,1.6609823788845333,47908.612996031196,-25471.223766659466,-39973.35202034473,15425.527687423195,-15019.576360006746
2621,1.401641463895578,5535.711553165101,94241.63907533788,23200.422929582463,97687.64232688204,27532.762250341246
2691,1.6267532426691855,466.9729617414746,140303.33224428786,-45080.41495071509,139836.35942490262,-45080.779577934576
2732,1.4282170364266529,4427.094935961522,134195.75513486637,37285.32549724792,131539.55785718033,33743.6047863463
2794,1.5498994591295185,40549.22088252692,-28046.165449244807,103719.59548357417,8512.371774128385,121261.33628279915
2796,1.4027041909119484,1266.2278532206797,130967.01708538836,50041.488789064606,130485.1055246448,48870.55146200839
2832,1.513930254785154,28797.856427623377,15012.456009907815,17631.424875508572,39631.72303168613,32571.579698547983
2919,1.505253778234908,14496.466568954895,77030.54105039347,-45458.91795800039,74794.60390439008,-31135.924972456163
2930,1.4022673696751555,30754.443196582193,90161.25923873816,61604.32540400997,101003.52372339457,90384.19818302967
2948,1.3816907989284215,51844.01912263014,86392.78383411057,30603.057252342114,65243.595059651045,77937.12672634693
