method,auc,precision,recall,f1
Energy,0.7251583333333332,0.9226932668329177,0.6166666666666667,0.7392607392607392
Cyclostationary,0.6825277777777778,0.5662790697674419,0.8116666666666666,0.6671232876712329
Classical-ML-SVM,0.8689444444444445,1.0,0.5583333333333333,0.7165775401069518
Classical-ML-RF,0.9802986111111112,1.0,0.815,0.8980716253443526
