metric,mean,std,min,max
auc,0.9551970833333333,0.010058766288838441,0.9326874999999999,0.972325
precision,0.9986740381157857,0.003553639363941887,0.9870550161812298,1.0
recall,0.6218333333333333,0.08324395206593423,0.4475,0.7625
f1,0.7629534340391663,0.0654469839345279,0.6183074265975821,0.8603667136812412
threshold,0.5,0.0,0.5,0.5
