method,auc,precision,recall,f1
Energy,0.7194055555555555,0.8191268191268192,0.6566666666666666,0.72895467160037
Cyclostationary,0.6691638888888889,0.5232774674115456,0.9366666666666666,0.6714456391875747
Classical-ML-SVM,0.8431305555555557,1.0,0.5316666666666666,0.6942328618063112
Classical-ML-RF,0.9807583333333333,0.9842209072978304,0.8316666666666667,0.9015356820234869
