metric,mean,std,min,max
auc,0.9542839583333333,0.008582429124096473,0.9401062499999999,0.96775
precision,0.9867296667437432,0.037552875655892846,0.8496420047732697,1.0
recall,0.6416666666666667,0.13650295072105786,0.36,0.89
f1,0.7668266458523952,0.09814942590677572,0.5294117647058824,0.8987854251012146
threshold,0.5,0.0,0.5,0.5
